\\vanilla roadsTXT. Please ONLY use the roads you need for custom paths, because otherwise load times will be significantly increased and interactions between mods may cause errors and strange behaviour!
\\see here for node positions: https://docs.google.com/spreadsheets/d/1rKWC1aZMPbMLxb9Mx5QbHE-SLYjG2CAybgqgQ87b2eo/view
\\node_from-node_to|(x1,y1),(x2,y2),(x3,y3),(x4,y4),... [etc]
aqua_27-aqua_28|(6.558555,3.642014),(5.811697,3.417713),(5.372671,3.134471),(5.467085,2.870111),(6.109102,2.770976),(7.827775,2.426942)
aqua_28-aqua_29|(7.780455,2.506839),(7.414681,1.910886),(6.976727,1.371935)
aqua_29-aqua_30|(7.077893,1.49575),(6.708978,1.08584),(6.658312,0.9169543),(6.450019,0.6692548),(6.540091,0.3708895),(6.269874,0.2639284),(5.774475,0.1457082),(5.069014,-0.3572623)
aqua_29-aqua_34|(7.038486,1.439455),(6.591558,0.8624797),(6.433931,0.5810032),(6.619706,0.4909308),(6.32697,0.2432312),(6.619706,0.06871569),(6.715408,-0.1958724),(6.270675,-0.4604605),(6.039864,-0.7025304),(5.949791,-1.1923),(6.340328,-1.568601)
aqua_30-aqua_33|(5.238957,-0.2639643),(4.352926,-0.50093),(3.998265,-0.7655181),(3.981376,-1.22714),(4.099597,-1.761945),(4.581391,-2.653624),(4.80431,-3.085081),(5.113522,-3.121036),(5.437115,-2.962835),(6.061768,-2.933352)
aqua_31-aqua_33|(2.421336,-2.559723),(3.488391,-2.663993),(4.287786,-2.540143),(4.664964,-2.703399),(4.850739,-3.108726),(5.126586,-3.114355),(5.436211,-2.956728),(6.075793,-2.919181)
aqua_32-aqua_33|(3.337538,-3.420912),(3.570521,-2.770039),(4.234806,-2.550487),(4.657021,-2.696855),(4.797759,-3.102181),(5.062347,-3.164106),(5.411378,-2.972702),(6.10394,-2.947329)
aqua_33-aqua_35|(5.763506,-2.944972),(6.412267,-2.74007),(6.873889,-2.548666),(7.484826,-2.463651)
aqua_34-aqua_35|(6.17642,-1.444299),(6.465246,-1.751102),(6.949386,-2.291538),(7.446476,-2.477683)
aqua_35-aqua_36|(7.310614,-2.480956),(7.619497,-1.993422),(7.557572,-1.571207),(7.577711,-0.9806061)
aqua_37-aqua_11|(-2.455456,0.5445852),(-2.747965,0.02609573),(-3.024441,-0.3271783),(-3.0158,-0.8403258)
aqua_30-aqua_40|(5.229724,-0.2784188),(4.345679,-0.5337641),(3.968693,-0.8085166),(4.038979,-1.524151),(4.264985,-2.262551)
aqua_38-aqua_13|(-6.243849,-2.691689),(-5.962248,-3.158488),(-5.579595,-3.541141),(-4.862657,-3.754995)
aqua_40-aqua_33|(4.2271,-2.149283),(4.609127,-2.646168),(4.808821,-3.061322),(5.082087,-3.166425),(5.402649,-2.95622),(6.086203,-2.914107)
aqua_26-aqua_39|(5.472795,1.824627),(5.042967,1.318684),(4.634275,0.7872272)
aqua_39-aqua_21|(4.790766,0.8591439),(4.063813,0.4338918),(3.444201,0.09242982)
aqua_41-aqua_21|(2.123106,-0.352765),(2.636164,-0.1706287),(3.000556,0.054437),(3.359589,-0.1009656),(3.621039,0.1996039)
aqua_18-aqua_41|(0.9120384,-0.1652102),(1.291128,-0.5350208),(1.794847,-0.5028687),(2.404612,-0.277321)
aqua_42-aqua_19|(-1.106155,0.1922992),(-0.6286269,0.3758153),(-0.4053152,0.7692751),(0.3768458,1.110809)
aqua_11-aqua_42|(-3.20269,-0.7973237),(-2.124524,-0.8405147),(-1.680355,-0.4497828),(-1.324946,-0.07018587),(-0.8040361,0.3056941)
aqua_9-aqua_42|(-6.599016,-0.764928),(-7.126323,-1.249644),(-6.386991,-1.332757),(-5.437922,-1.749796),(-3.930648,-1.521513),(-2.19892,-1.21171),(-1.393894,-0.5104907),(-0.8156613,0.3436776)
aqua_18-aqua_43|(0.8821527,-0.1573946),(1.255563,-0.5187004),(1.939609,-0.4714795),(2.108903,-0.8271807),(1.907182,-1.220002),(1.669858,-1.493838),(1.314839,-1.735727),(0.8685106,-1.945199)
aqua_41-aqua_43|(2.264168,-0.2619795),(2.099729,-0.5224357),(2.108903,-0.8271807),(1.907182,-1.220002),(1.669858,-1.493838),(1.314839,-1.735727),(0.8685106,-1.945199)
aqua_43-aqua_16|(1.139464,-1.868551),(0.7072186,-2.229671),(0.5167264,-1.790491),(-0.008496841,-1.757026),(-0.1326892,-2.016701),(0.229775,-2.395994),(-0.01749729,-3.436437),(-0.8795031,-3.823413),(-1.722634,-3.967758),(-1.887294,-3.533118),(-0.9588987,-3.091639)
aqua_28-aqua_45|(7.780455,2.506839),(8.294244,2.06913),(8.374608,1.333011)
aqua_45-aqua_29|(8.501268,1.415021),(7.849182,1.331551),(6.904311,1.364693)
aqua_11-aqua_44|(-3.134926,-0.75142),(-2.300258,-0.7816771),(-2.426735,-1.12949),(-2.541749,-2.060474)
aqua_44-aqua_14|(-2.503272,-1.918781),(-2.74173,-2.587799),(-3.180291,-2.618833),(-4.180851,-2.716115)
aqua_44-aqua_17|(-2.67921,-2.053321),(-1.873518,-1.705262),(-1.472668,-1.085323),(-0.6103588,-0.8429011)
aqua_9-aqua_44|(-6.599016,-0.764928),(-7.126323,-1.249644),(-6.439147,-1.578932),(-5.360267,-1.930587),(-3.93067,-1.727651),(-3.023078,-1.581644),(-2.781689,-1.684169),(-2.504254,-2.018752)
aqua_15-aqua_46|(-3.02976,-3.47459),(-2.339646,-3.530295),(-2.144612,-3.984678),(-1.501763,-3.996091)
aqua_46-aqua_16|(-1.644678,-4.08107),(-1.914778,-3.773472),(-1.747354,-3.480738),(-0.9903347,-3.118097)
aqua_43-aqua_46|(1.139464,-1.868551),(0.7072186,-2.229671),(0.5167264,-1.790491),(-0.008496841,-1.757026),(-0.1326892,-2.016701),(0.229775,-2.395994),(-0.01749729,-3.436437),(-0.8989989,-3.839009),(-1.881885,-4.009317)
aqua_46-aqua_26|(-1.754679,-4.049939),(5.556675,1.778993)
aqua_23-aqua_47|(1.969898,3.076385),(2.912471,3.271449),(3.576322,3.375907)
aqua_47-aqua_25|(3.227884,3.371738),(3.875103,3.227693),(4.615528,2.938347)
aqua_47-aqua_16|(3.445674,3.433964),(-1.186999,-3.237532)
of1_0-of1_1|(-5.10274,0.3653527),(-3.74705,0.4175155)
of1_1-of1_2|(-4.020658,0.4002585),(-1.835885,1.49087)
of1_1-of1_3|(-3.9683,0.4526173),(-1.591544,0.1906276)
of1_1-of1_4|(-3.933394,0.5137025),(-3.191644,-0.7429079),(-2.010415,-1.842638)
of1_2-of1_5|(-1.996119,1.478665),(-1.088567,1.621963),(0.1799271,1.708644)
of1_2-of1_6|(-1.962849,1.491973),(-0.9887564,1.202761),(0.3928555,0.05844939)
of1_3-of1_6|(-1.803153,0.1811323),(-0.8490222,0.271199),(0.3928555,0.05844939)
of1_4-of1_6|(-2.158044,-1.764308),(-0.8490222,-1.454186),(0.2676063,0.101645)
of1_4-of1_7|(-2.158044,-1.764308),(-0.7567394,-1.892529),(0.71364,-1.874746)
of1_5-of1_8|(0.03145099,1.703378),(0.9356806,1.456805),(1.623791,1.275593)
of1_6-of1_8|(0.2321588,0.06280923),(1.092756,0.8110497),(1.597612,1.301773)
of1_6-of1_9|(0.3106966,0.1064414),(1.302191,-0.5677259),(1.990301,-1.176533)
of1_7-of1_9|(0.4764987,-1.883184),(1.30219,-1.527633),(1.972849,-1.115448)
of1_8-of1_10|(1.555285,1.326925),(2.349362,0.6888801),(3.164223,0.5600264)
of1_9-of1_10|(1.921145,-1.227441),(2.502358,0.2365445),(3.157571,0.5999384)
of1_10-of1_11|(2.945552,0.5552931),(3.633197,0.4427564),(4.268454,0.6132423)
of2_0-of2_1|(-5.014989,0.1848355),(-3.681862,0.332271)
of2_1-of2_2|(-3.773558,0.2879403),(-1.796574,1.704275)
of2_1-of2_3|(-3.794206,0.3515303),(-1.136652,0.1513159)
of2_1-of2_4|(-3.748067,0.4013831),(-3.186028,-0.5744288),(-2.403533,-1.191185)
of2_2-of2_5|(-2.018583,1.669609),(-1.088567,1.81852),(-0.3198984,1.877125)
of2_3-of2_5|(-1.333853,0.0935815),(-0.8539714,1.169064),(-0.4102388,1.911744)
of2_3-of2_6|(-1.359485,0.1586681),(-0.5289072,0.2150385),(0.420936,0.1202259)
of2_3-of2_7|(-1.310017,0.2013154),(-0.6412278,-1.173383),(0.3181508,-1.667416)
of2_4-of2_7|(-2.551169,-1.079146),(-1.173866,-1.820723),(0.303665,-1.605173)
of2_5-of2_8|(-0.5133101,1.888709),(0.5762495,1.445573),(1.781043,0.8824657)
of2_6-of2_8|(0.2040781,0.1470511),(1.08714,0.6313337),(1.78856,0.9198763)
of2_6-of2_9|(0.2826159,0.1626028),(1.076612,-0.3404701),(1.78812,-0.9125745)
of2_7-of2_9|(0.1312041,-1.620693),(1.115866,-1.759256),(1.732042,-0.8172412)
of2_8-of2_10|(1.588982,0.9281762),(2.405524,0.3856066),(3.377638,0.3859249)
of2_9-of2_10|(1.595405,-0.9466314),(2.412499,-0.1734374),(3.32044,0.442685)
of2_10-of2_11|(3.108422,0.4092709),(3.818532,0.2518043),(4.543649,0.394209)
oh1_31-oh1_1|(-6.691451,0.3887729),(-5.298475,1.669319)
oh1_31-oh1_2|(-6.699911,0.3915029),(-4.54268,0.2385779)
oh1_31-oh1_3|(-6.700145,0.4504336),(-6.111391,-0.3494759),(-6.033329,-1.469157)
oh1_1-oh1_5|(-5.390983,1.569645),(-4.06928,2.585612)
oh1_2-oh1_6|(-4.791947,0.2371499),(-3.176729,0.2761371)
oh1_3-oh1_4|(-6.179089,-1.388976),(-4.726642,-2.102563)
oh1_3-oh1_30|(-6.201778,-1.354941),(-5.943946,-3.229732)
oh1_4-oh1_7|(-4.991699,-2.085575),(-2.542681,-2.463331)
oh1_5-oh1_8|(-4.018404,2.513399),(-1.950309,3.208313)
oh1_5-oh1_10|(-3.946299,2.560016),(-2.754668,1.936929),(-1.796997,0.1929933)
oh1_6-oh1_10|(-3.383487,0.2697837),(-1.732077,0.207619)
oh1_6-oh1_7|(-3.390072,0.3356422),(-2.574257,-1.398776),(-2.568814,-2.484221)
oh1_7-oh1_11|(-2.714889,-2.448087),(-1.852478,-1.723845),(-0.7327877,-1.318052)
oh1_7-oh1_12|(-2.702953,-2.427887),(-1.235919,-3.224286),(-0.3446767,-3.74255)
oh1_8-oh1_9|(-2.116977,3.268735),(-1.59929,2.559115),(-0.9896209,1.495826)
oh1_8-oh1_13|(-2.158025,3.18664),(-0.8912153,3.390332),(0.3136461,3.384024)
oh1_9-oh1_13|(-1.152218,1.524987),(0.127581,2.630135),(0.2177581,3.396641)
oh1_9-oh1_15|(-1.086059,1.66298),(-0.4347373,0.6784601),(0.368558,-0.3875726)
oh1_10-oh1_9|(-1.929006,0.1598169),(-1.000545,1.623618)
oh1_10-oh1_15|(-1.864475,0.1985358),(0.4578689,-0.3639547)
oh1_11-oh1_15|(-0.9779632,-1.312279),(0.4425495,-0.3026767)
oh1_12-oh1_16|(-0.5970709,-3.69873),(1.078321,-3.149013)
oh1_13-oh1_14|(0.02839023,3.371174),(0.819276,3.697903),(1.878629,3.637784)
oh1_13-oh1_27|(0.1894509,3.420339),(1.893148,1.560112)
oh1_14-oh1_17|(1.641679,3.6884),(1.639782,3.267219),(1.943345,2.866028),(2.580102,2.496969),(3.602047,2.698837)
oh1_15-oh1_19|(0.2929178,-0.3388271),(2.571356,0.1511483)
oh1_15-oh1_28|(0.2929178,-0.2893888),(1.845299,-1.211663)
oh1_16-oh1_21|(0.7710775,-3.188691),(2.136662,-3.036688),(2.903213,-2.62393)
oh1_17-oh1_18|(3.395899,2.730057),(4.881842,1.867398)
oh1_18-oh1_23|(4.710911,1.979693),(5.740156,0.9930696)
oh1_19-oh1_20|(2.307411,0.145243),(4.211374,0.1390821)
oh1_20-oh1_23|(4.016462,0.1072929),(5.770795,1.039028)
oh1_20-oh1_24|(4.054761,0.168571),(5.770795,-0.7763364)
oh1_21-oh1_22|(2.638192,-2.72133),(4.431732,-1.623778)
oh1_21-oh1_29|(2.638192,-2.695394),(3.892395,-3.094709),(5.267434,-2.945635)
oh1_22-oh1_24|(4.179351,-1.714036),(5.810571,-0.7119678)
oh1_23-oh1_25|(5.589561,1.066093),(6.395313,0.542118),(7.184342,0.03744018)
oh1_24-oh1_25|(5.589561,-0.7823396),(6.509297,-0.09911937),(7.223342,0.1442763)
oh1_25-oh1_26|(6.990097,0.1181261),(7.707936,0.2768831),(8.672086,1.31333)
oh1_27-oh1_17|(1.812915,1.567971),(3.479565,2.672986)
oh1_27-oh1_19|(1.835458,1.627073),(2.497907,0.086694)
oh1_28-oh1_21|(1.781041,-1.156786),(2.176878,-2.072927),(2.937058,-2.715763)
oh1_29-oh1_24|(5.097086,-3.074541),(5.976779,-1.687422),(5.804681,-0.7630916)
oh1_30-oh1_7|(-5.969881,-3.206208),(-4.387136,-3.561219),(-2.596222,-2.465357)
oh1_0-oh1_31|(-7.874577,0.2763084),(-6.522089,0.4097162)
oh2_0-oh2_29|(-7.977499,0.2608908),(-6.541643,0.3918565)
oh2_29-oh2_1|(-6.869815,0.3411463),(-5.328154,1.141858)
oh2_29-oh2_2|(-6.791922,0.4422224),(-5.350535,-0.7636931),(-5.350535,-0.7636931)
oh2_1-oh2_3|(-5.486355,1.02623),(-4.89494,1.502436),(-4.164527,1.680813)
oh2_2-oh2_4|(-5.448669,-0.6925817),(-4.731314,-1.14812),(-3.987167,-1.631387)
oh2_2-oh2_5|(-5.413115,-0.7162845),(-5.581561,-1.596835),(-5.722856,-2.457777)
oh2_3-oh2_6|(-4.391129,1.595435),(-3.46075,2.386826),(-3.054011,3.284041)
oh2_3-oh2_7|(-4.444321,1.64383),(-3.226992,1.635078),(-2.290102,1.864839)
oh2_3-oh2_8|(-4.311033,1.697245),(-3.670724,1.025401),(-3.080281,0.6734682)
oh2_4-oh2_9|(-4.213624,-1.613274),(-3.378112,-1.315483),(-2.686902,-0.9450243)
oh2_4-oh2_10|(-4.140285,-1.547727),(-3.637549,-2.053821),(-3.179708,-2.496904)
oh2_5-oh2_10|(-5.83789,-2.315578),(-4.65736,-2.526644),(-3.115813,-2.430007)
oh2_6-oh2_11|(-3.08548,3.310143),(-1.845397,2.812595),(-0.5138494,2.701222)
oh2_7-oh2_11|(-2.481248,1.839622),(-1.701172,2.261755),(-0.5315704,2.754385)
oh2_8-oh2_12|(-3.200356,0.726319),(-2.363231,0.3359802),(-0.9141201,-0.09460211)
oh2_9-oh2_12|(-2.892076,-0.9885828),(-1.687208,-0.4790015),(-0.9205673,-0.08170742)
oh2_10-oh2_13|(-3.278806,-2.414081),(-2.241025,-2.844903),(-0.9471487,-2.73986)
oh2_11-oh2_14|(-0.8212089,2.692462),(0.2418759,2.792635),(1.245988,2.779181)
oh2_11-oh2_15|(-0.7446698,2.784309),(0.234222,1.430236),(1.330181,0.8733531)
oh2_12-oh2_15|(-1.221259,-0.1496956),(0.06587231,0.2783701),(1.294739,0.9796791)
oh2_12-oh2_16|(-1.097212,-0.06109047),(-0.09520116,-0.7026598),(0.7969296,-1.377216)
oh2_13-oh2_16|(-1.144721,-2.812235),(-0.1125077,-2.14067),(0.7711402,-1.293401)
oh2_13-oh2_17|(-1.138273,-2.773551),(0.06157054,-3.017508),(1.30627,-3.124446)
oh2_14-oh2_18|(0.9945817,2.793165),(1.90866,2.535888),(2.77638,1.943353)
oh2_15-oh2_18|(1.125454,0.9106193),(2.000507,1.318914),(2.761072,2.042854)
oh2_15-oh2_22|(1.133108,0.9871584),(2.398511,0.2167484),(3.725467,0.1370267)
oh2_16-oh2_19|(0.5694242,-1.290124),(1.50789,-1.609587),(2.552323,-2.009578)
oh2_17-oh2_19|(1.074583,-3.111759),(1.768124,-2.528058),(2.537015,-1.917731)
oh2_17-oh2_20|(1.051621,-3.058182),(2.181436,-3.387852),(3.279445,-3.371976)
oh2_18-oh2_21|(2.531384,1.998747),(3.440625,1.90277),(4.609519,1.746903)
oh2_19-oh2_23|(2.339732,-1.958313),(3.857751,-2.133207),(5.049192,-2.086147)
oh2_20-oh2_23|(3.155451,-3.332416),(4.187248,-3.981571),(4.751006,-3.620447),(4.997614,-2.073253)
oh2_21-oh2_24|(4.368616,1.801252),(5.020598,1.514193),(5.784175,1.154807)
oh2_22-oh2_25|(3.472645,0.170383),(4.406506,0.1695896),(5.396894,0.1260923)
oh2_23-oh2_28|(4.837163,-2.115628),(5.54951,-1.762001),(6.203034,-1.158681)
oh2_24-oh2_26|(5.615047,1.232654),(6.413235,0.6731122),(7.232239,-0.05239862)
oh2_25-oh2_26|(5.150838,0.1536835),(6.238976,0.08936802),(7.275336,-0.0300746)
oh2_26-oh2_27|(7.086931,-0.02640486),(7.811234,0.3150491),(8.67184,1.196191)
oh2_28-oh2_26|(6.031039,-1.253995),(6.809712,-0.6184393),(7.110971,-0.01963103)
oh2_19-oh2_30|(2.339732,-1.958313),(3.265467,-1.6413),(3.834606,-0.9106045)
oh2_30-oh2_22|(3.740699,-1.11637),(3.694824,-0.4478856),(3.676713,0.2078532)
oh2_14-oh2_31|(0.9945817,2.793165),(1.488317,3.344991),(2.348494,3.581843)
oh2_31-oh2_18|(2.253003,3.623058),(2.450526,3.072821),(2.786816,1.901608)
oh3_0-oh3_32|(-7.865162,0.2984022),(-6.46019,0.4825752)
oh3_32-oh3_1|(-6.681968,0.3815192),(-5.531236,1.572874)
oh3_32-oh3_2|(-6.72778,0.4739204),(-4.906028,0.1373586)
oh3_32-oh3_3|(-6.618241,0.4870262),(-6.414922,-0.7197528),(-6.192156,-1.903427)
oh3_1-oh3_4|(-5.594211,1.455495),(-5.137211,2.240457),(-4.611644,2.881678)
oh3_2-oh3_5|(-5.157136,0.1429882),(-3.230306,0.08265173)
oh3_3-oh3_6|(-6.289152,-1.824996),(-5.102471,-2.713977),(-4.013598,-3.27129)
oh3_4-oh3_7|(-4.835526,2.845911),(-3.529509,3.348855),(-2.659824,4.013333)
oh3_4-oh3_8|(-4.755431,2.892633),(-3.683024,2.714771),(-2.259348,2.771859)
oh3_4-oh3_9|(-4.78213,2.926006),(-3.936659,2.180709),(-3.160418,1.637179)
oh3_5-oh3_10|(-3.536586,0.07482564),(-1.799098,0.1212612)
oh3_6-oh3_11|(-4.173941,-3.213492),(-3.201241,-2.749958),(-2.448798,-2.049771)
oh3_6-oh3_12|(-4.173941,-3.213492),(-2.995354,-3.295557),(-2.09879,-3.459961)
oh3_7-oh3_13|(-2.827736,3.93876),(-1.699623,3.882572),(-0.385175,3.644814)
oh3_8-oh3_13|(-2.582366,2.775523),(-1.327024,3.128286),(-0.3760872,3.699341)
oh3_9-oh3_14|(-3.385326,1.725497),(-2.160868,1.470893),(-1.024632,1.26987)
oh3_10-oh3_14|(-2.076834,0.08419633),(-1.415671,0.743871),(-1.070071,1.35166)
oh3_10-oh3_15|(-1.995044,0.1750739),(-1.706478,-0.5556782),(-0.9246671,-1.265614)
oh3_11-oh3_15|(-2.622096,-2.15138),(-1.924584,-1.691642),(-0.8792285,-1.156561)
oh3_12-oh3_16|(-2.403991,-3.42366),(-1.642865,-3.618237),(-0.7883514,-3.728384)
oh3_13-oh3_17|(-0.6713355,3.665933),(0.5009605,3.709083),(1.674382,3.61798)
oh3_13-oh3_18|(-0.5985923,3.760499),(-0.009613215,3.014073),(0.8336232,2.544155)
oh3_14-oh3_18|(-1.302459,1.276265),(-0.2510493,1.836549),(0.833278,2.614268)
oh3_14-oh3_19|(-1.302459,1.276265),(-0.2609661,1.201885),(0.6051955,1.116856)
oh3_15-oh3_20|(-1.11205,-1.258548),(0.144127,-0.5724226),(0.6880033,-0.2991569)
oh3_15-oh3_21|(-1.153454,-1.150898),(-0.3905958,-1.544646),(0.4478608,-1.996717)
oh3_16-oh3_21|(-0.9826811,-3.770419),(-0.0596225,-2.944387),(0.4195639,-1.897678)
oh3_17-oh3_23|(1.366853,3.632276),(1.921768,3.306944),(2.941676,2.67198)
oh3_18-oh3_23|(0.637352,2.584988),(1.808423,2.588567),(2.966864,2.722355)
oh3_19-oh3_24|(0.3237889,1.165243),(1.494859,0.7333175),(2.444259,0.1267483)
oh3_20-oh3_24|(0.4195998,-0.3154721),(1.494859,-0.1115612),(2.479099,0.1877189)
oh3_21-oh3_22|(0.2113497,-1.912057),(0.9494421,-2.065591),(1.923765,-2.261699)
oh3_22-oh3_25|(1.629434,-2.239307),(2.89311,-2.521758),(4.393017,-2.301366)
oh3_23-oh3_26|(2.742851,2.758572),(3.577395,2.040091),(4.563826,1.651343)
oh3_24-oh3_27|(2.227184,0.1802387),(3.200562,-0.2796665),(4.454742,-0.3419067)
oh3_25-oh3_29|(4.180767,-2.308845),(5.104562,-1.677917),(5.843076,-0.95674)
oh3_26-oh3_28|(4.369863,1.728896),(5.160179,1.49221),(5.772641,1.063808)
oh3_27-oh3_29|(4.191363,-0.3139341),(5.100679,-0.5208702),(5.881649,-1.062766)
oh3_28-oh3_30|(5.604763,1.169258),(6.347724,0.5762593),(7.198158,-0.08116829)
oh3_29-oh3_30|(5.731994,-1.065539),(6.573019,-0.2115162),(7.261457,0.008475244)
oh3_30-oh3_31|(7.038533,-0.06268525),(7.770634,0.2786953),(8.623123,1.14433)
oh3_22-oh3_33|(1.772687,-2.209148),(1.459581,-2.95893),(2.846646,-3.42599)
oh3_33-oh3_25|(2.58248,-3.388148),(3.40933,-2.888439),(4.384678,-2.251332)
oh3_23-oh3_34|(2.742851,2.758572),(3.650289,3.179051),(4.408927,3.646802)
